Trade_Time,Price_USD,Volume_BTC,Symbol
2025-09-30 20:02:34.568,114337.9,0.001,BTCUSDT
2025-09-30 20:02:34.568,114337.8,0.002,BTCUSDT
2025-09-30 20:02:34.568,114337.8,0.002,BTCUSDT
2025-09-30 20:02:34.568,114337.2,0.001,BTCUSDT
2025-09-30 20:02:34.568,114337.2,0.001,BTCUSDT
2025-09-30 20:02:34.568,114337.2,0.002,BTCUSDT
2025-09-30 20:02:34.568,114336.8,0.002,BTCUSDT
2025-09-30 20:02:34.568,114336.8,0.002,BTCUSDT
2025-09-30 20:02:34.568,114336.6,0.001,BTCUSDT
2025-09-30 20:02:34.568,114336.6,0.002,BTCUSDT
2025-09-30 20:02:34.568,114336.4,0.002,BTCUSDT
2025-09-30 20:02:34.568,114336.3,0.002,BTCUSDT
2025-09-30 20:02:34.569,114336.0,0.002,BTCUSDT
2025-09-30 20:02:34.576,114335.8,0.001,BTCUSDT
2025-09-30 20:02:34.576,114335.5,0.001,BTCUSDT
2025-09-30 20:02:34.576,114335.4,0.001,BTCUSDT
2025-09-30 20:02:34.576,114335.4,0.002,BTCUSDT
2025-09-30 20:02:34.576,114335.4,0.017,BTCUSDT
2025-09-30 20:02:34.581,114335.3,0.002,BTCUSDT
2025-09-30 20:02:34.581,114335.2,0.001,BTCUSDT
2025-09-30 20:02:34.581,114335.1,0.001,BTCUSDT
2025-09-30 20:02:34.581,114335.0,0.001,BTCUSDT
2025-09-30 20:02:34.581,114334.9,0.002,BTCUSDT
2025-09-30 20:02:34.581,114334.9,0.001,BTCUSDT
2025-09-30 20:02:34.581,114334.9,0.001,BTCUSDT
2025-09-30 20:02:34.581,114334.8,0.002,BTCUSDT
2025-09-30 20:02:34.581,114334.7,0.005,BTCUSDT
2025-09-30 20:02:34.592,114334.8,0.004,BTCUSDT
2025-09-30 20:02:34.592,114334.8,0.001,BTCUSDT
2025-09-30 20:02:34.592,114334.6,0.001,BTCUSDT
2025-09-30 20:02:34.592,114334.6,0.001,BTCUSDT
2025-09-30 20:02:34.592,114334.6,0.001,BTCUSDT
2025-09-30 20:02:34.592,114334.6,0.001,BTCUSDT
2025-09-30 20:02:34.592,114334.5,0.001,BTCUSDT
2025-09-30 20:02:34.592,114334.3,0.07,BTCUSDT
2025-09-30 20:02:34.593,114334.3,0.007,BTCUSDT
2025-09-30 20:02:34.593,114334.2,0.002,BTCUSDT
2025-09-30 20:02:34.593,114334.2,0.001,BTCUSDT
2025-09-30 20:02:34.593,114334.2,0.002,BTCUSDT
2025-09-30 20:02:34.593,114334.2,0.066,BTCUSDT
2025-09-30 20:02:34.593,114334.0,0.001,BTCUSDT
2025-09-30 20:02:34.609,114333.9,0.002,BTCUSDT
2025-09-30 20:02:34.609,114333.9,0.051,BTCUSDT
2025-09-30 20:02:34.632,114333.9,0.149,BTCUSDT
2025-09-30 20:02:34.632,114333.9,0.018,BTCUSDT
2025-09-30 20:02:34.632,114333.9,0.001,BTCUSDT
2025-09-30 20:02:34.632,114333.9,0.002,BTCUSDT
2025-09-30 20:02:34.632,114333.6,0.002,BTCUSDT
